iter	RMSE
0	78.71873591
1	78.3080087
2	77.82610587
3	77.42023076
4	77.01694228
5	76.6162238
6	76.21805882
7	75.75100298
8	75.42694019
9	74.96540086
10	74.64469888
11	74.25614081
12	74.04302185
13	73.59051194
14	73.14143301
15	72.82853396
16	72.61996149
17	72.24168106
18	71.86581586
19	71.61602793
20	71.30965456
21	71.00459186
22	70.70083422
23	70.33317463
24	70.12828669
25	69.82827788
26	69.46583471
27	69.10550655
28	68.90608803
29	68.54809262
30	68.25484388
31	67.90065459
32	67.48738424
33	67.19867322
34	66.85069175
35	66.50457234
36	66.16066908
37	65.7595453
38	65.47822597
39	65.24880012
40	64.91118983
41	64.63349976
42	64.29965907
43	63.96795713
44	63.63838024
45	63.4504384
46	63.17899743
47	62.85242736
48	62.47264386
49	62.2053859
50	61.9864708
51	61.66653849
52	61.29437665
53	60.9785611
54	60.66477075
55	60.40524686
56	60.14683321
57	59.96908817
58	59.79294817
59	59.48527478
60	59.23079678
61	58.9264025
62	58.71835971
63	58.36460686
64	58.19142363
65	57.98612307
66	57.68688737
67	57.3895697
68	57.09415779
69	56.75084692
70	56.54989969
71	56.30797922
72	56.01810868
73	55.68170767
74	55.44350132
75	55.27977739
76	54.94803807
77	54.66556614
78	54.38519133
79	54.10661681
80	53.87514871
81	53.59838976
82	53.32412631
83	53.05162483
84	52.78087408
85	52.5098602
86	52.28522302
87	52.01710376
88	51.75070863
89	51.48602663
90	51.26576941
91	51.0041936
92	50.74360469
93	50.44310545
94	50.22730985
95	49.97158548
96	49.67648787
97	49.38368877
98	49.09317356
99	48.84439971
100	48.66690582
101	48.4193722
102	48.17343533
103	47.92936014
104	47.72431834
105	47.48218596
106	47.27905717
107	47.00247925
108	46.80140264
109	46.56482761
110	46.32912077
111	46.13092479
112	45.89801328
113	45.6308724
114	45.40108998
115	45.23431846
116	45.00566705
117	44.77849463
118	44.58693223
119	44.36246017
120	44.17267757
121	43.98370685
122	43.76259257
123	43.50941846
124	43.29027835
125	43.10508254
126	42.85651148
127	42.72509718
128	42.54231922
129	42.3849825
130	42.17272316
131	41.99230825
132	41.75038596
133	41.57177781
134	41.39393374
135	41.15597984
136	40.97991455
137	40.80460248
138	40.63004039
139	40.396994
140	40.16580241
141	39.93645383
142	39.76560568
143	39.56805194
144	39.37178357
145	39.14801049
146	38.92603011
147	38.73377563
148	38.5149307
149	38.35016383
150	38.18610183
151	37.9708709
152	37.78166319
153	37.59368866
154	37.43286286
155	37.29129809
156	37.13176592
157	36.97291622
158	36.81474609
159	36.60798469
160	36.42803159
161	36.27219247
162	36.11702003
163	35.96251142
164	35.80866379
165	35.65547433
166	35.48048842
167	35.30429271
168	35.10725421
169	34.91181447
170	34.76246173
171	34.59058971
172	34.39876756
173	34.2085087
174	34.0621647
175	33.8962134
176	33.7512054
177	33.60681774
178	33.4216831
179	33.27870514
180	33.13633884
181	32.99458158
182	32.83435281
183	32.69388745
184	32.51451536
185	32.37541826
186	32.23691622
187	32.09900669
188	31.96168714
189	31.82495505
190	31.68880789
191	31.55324317
192	31.4182584
193	31.28385109
194	31.15001877
195	31.01675899
196	30.86450373
197	30.71324666
198	30.58185539
199	30.45102622
200	30.32075673
201	30.19104453
202	30.06188724
203	29.93328249
204	29.80522791
205	29.67772114
206	29.55075985
207	29.4243417
208	29.29846437
209	29.17312554
210	29.04832291
211	28.92405418
212	28.80031708
213	28.67710933
214	28.55442865
215	28.43227281
216	28.31063954
217	28.18952663
218	28.06893184
219	27.94885295
220	27.82928775
221	27.71023406
222	27.59168968
223	27.47365243
224	27.35612015
225	27.23909067
226	27.12256184
227	26.97456714
228	26.85916995
229	26.74426642
230	26.59874414
231	26.48495471
232	26.37165207
233	26.25883415
234	26.14649885
235	26.03464413
236	25.89338373
237	25.78261183
238	25.67231382
239	25.56248766
240	25.45313134
241	25.34424284
242	25.23582017
243	25.12786133
244	25.02036434
245	24.91332723
246	24.80674801
247	24.70062475
248	24.59495547
249	24.48973825
250	24.38497115
251	24.28065225
252	24.17677962
253	24.07335136
254	23.97036556
255	23.86782034
256	23.7657138
257	23.66404408
258	23.5628093
259	23.4620076
260	23.36163713
261	23.26169605
262	23.16218251
263	23.0630947
264	22.96443078
265	22.86618894
266	22.76836739
267	22.67096431
268	22.57397793
269	22.47740645
270	22.38124811
271	22.28550113
272	22.19016376
273	22.09523423
274	22.00071082
275	21.90659178
276	21.81287538
277	21.7195599
278	21.62664363
279	21.53412485
280	21.44200186
281	21.35027298
282	21.25893651
283	21.16799078
284	21.07743412
285	20.98726485
286	20.89748133
287	20.80808191
288	20.71906494
289	20.63042878
290	20.5421718
291	20.45429239
292	20.36678893
293	20.27965981
294	20.19290342
295	20.10651818
296	20.0205025
297	19.93485479
298	19.84957348
299	19.764657
300	19.6801038
301	19.59591232
302	19.51208101
303	19.42860832
304	19.34549274
305	19.26273272
306	19.18032675
307	19.09827331
308	19.0165709
309	18.93521801
310	18.85421315
311	18.77355482
312	18.69324156
313	18.61327187
314	18.53364429
315	18.45435736
316	18.37540962
317	18.29679962
318	18.21852591
319	18.14058706
320	18.06298163
321	17.98570819
322	17.90876533
323	17.83215164
324	17.75586569
325	17.6799061
326	17.60427146
327	17.52896039
328	17.4539715
329	17.37930341
330	17.30495475
331	17.23092415
332	17.15721026
333	17.08381171
334	17.01072717
335	16.93795528
336	16.8654947
337	16.79334412
338	16.72150219
339	16.64996761
340	16.57873905
341	16.5078152
342	16.43719477
343	16.36687645
344	16.29685895
345	16.22714099
346	16.15772128
347	16.08859855
348	16.01977152
349	15.95123894
350	15.88299954
351	15.81505207
352	15.74739528
353	15.68002792
354	15.61294876
355	15.54615657
356	15.47965011
357	15.41342817
358	15.34748952
359	15.28183296
360	15.21645728
361	15.15136128
362	15.08654375
363	15.02200352
364	14.95773939
365	14.89375018
366	14.83003472
367	14.76659183
368	14.70342035
369	14.64051912
370	14.57788698
371	14.51552278
372	14.45342537
373	14.39159362
374	14.33002638
375	14.26872253
376	14.20768093
377	14.14690047
378	14.08638003
